,0
0,0.05025582
1,0.049267083
2,0.04842023
3,0.04866419
4,0.04616847
5,0.046262369
6,0.044698225
7,0.044015177
8,0.040047792
9,0.040231866
10,0.040026832
11,0.039485706
12,0.040031516
13,0.040146182
14,0.042418327
15,0.051404867
16,0.048676129
17,0.057409765
18,0.057972158
19,0.057486351
20,0.056911136
21,0.053856555
22,0.054300404
23,0.055498435
24,0.052820639
25,0.054515495
26,0.053676397
27,0.0556751
28,0.054507242
29,0.056724491
30,0.056281678
31,0.060006332
32,0.061853322
33,0.062075401
34,0.061196417
35,0.059533576
36,0.062652573
37,0.060967966
38,0.061957202
39,0.060516747
40,0.058631444
41,0.060110518
42,0.063938322
43,0.066226475
44,0.062575105
45,0.063167748
46,0.061868448
47,0.060651491
48,0.058392245
49,0.058098802
50,0.058107094
51,0.058986961
52,0.058970876
53,0.057422856
54,0.054977541
55,0.055046794
56,0.056080752
57,0.05646222
58,0.056562913
59,0.056840309
60,0.058266138
61,0.059525092
62,0.060298891
63,0.062445121
64,0.071863265
65,0.069983605
66,0.069018362
67,0.067635029
68,0.067001349
69,0.0680555
70,0.069094449
71,0.067801751
72,0.069548087
73,0.066721342
74,0.067332949
75,0.07039467
76,0.069123662
77,0.070749112
78,0.074662446
79,0.07364772
80,0.072185806
81,0.070831801
82,0.070768345
83,0.071213461
84,0.07120586
85,0.067720597
86,0.068693595
87,0.067136285
88,0.066857775
89,0.065109213
90,0.063626761
91,0.064894429
92,0.063097574
93,0.064081474
94,0.063918399
95,0.059820454
96,0.060438664
97,0.063428599
98,0.069820761
99,0.069372267
100,0.069268618
101,0.07947891
102,0.088247903
103,0.089047307
104,0.088471209
105,0.088524608
106,0.08744965
107,0.086058678
108,0.086972748
109,0.086998469
110,0.087193521
111,0.094124314
112,0.087210144
113,0.082201353
114,0.081154572
115,0.075491448
116,0.074636304
117,0.077163694
118,0.079768053
119,0.09230838
120,0.091491816
121,0.086237991
122,0.085044643
123,0.082106341
124,0.082006108
125,0.084783331
126,0.078201913
127,0.078670062
128,0.081483486
129,0.081925147
130,0.083746609
131,0.084331843
132,0.086960234
133,0.087707967
134,0.093137458
135,0.103962621
136,0.108168169
137,0.111372772
138,0.111454617
139,0.111088274
140,0.108498771
141,0.116380296
142,0.112686353
143,0.111050078
144,0.104197751
145,0.108788682
146,0.111552124
147,0.111600724
148,0.111014299
149,0.113125557
150,0.11806068
151,0.113292471
152,0.110636863
153,0.113820429
154,0.116426324
155,0.117532146
156,0.118930182
157,0.120002184
158,0.125100919
159,0.12627895
160,0.117750692
161,0.114481174
162,0.117821174
163,0.116288471
164,0.109104505
165,0.115978636
166,0.11016856
167,0.107766278
168,0.108215425
169,0.107350683
170,0.099269883
171,0.099210381
172,0.10155055
173,0.10165823
174,0.099739261
175,0.102745702
176,0.101065357
177,0.103008779
178,0.101686023
179,0.096312003
180,0.098510787
181,0.097743591
182,0.094464015
183,0.096480952
184,0.104235295
185,0.100514211
186,0.101729403
187,0.106260255
188,0.106108851
189,0.107380319
190,0.103540116
191,0.106605407
192,0.108668065
