Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10003946721553802,0.10047439728275745,0.10003946721553802,0.10003946721553802,469033600,0.0,0.0
1980-12-15,0.09525530294540038,0.09525530294540038,0.09482037276029587,0.09482037276029587,175884800,0.0,0.0
1980-12-16,0.0882957249128132,0.0882957249128132,0.08786080032587051,0.08786080032587051,105728000,0.0,0.0
1980-12-17,0.09003536403179169,0.09047029408379392,0.09003536403179169,0.09003536403179169,86441600,0.0,0.0
1980-12-18,0.09264573454856873,0.09308065890429466,0.09264573454856873,0.09264573454856873,73449600,0.0,0.0
1980-12-19,0.09829975664615631,0.09873468670490253,0.09829975664615631,0.09829975664615631,48630400,0.0,0.0
1980-12-22,0.10308397561311722,0.10351968389554032,0.10308397561311722,0.10308397561311722,37363200,0.0,0.0
1980-12-23,0.10743404179811478,0.10786897199376058,0.10743404179811478,0.10743404179811478,46950400,0.0,0.0
1980-12-24,0.11308805644512177,0.11352298647518931,0.11308805644512177,0.11308805644512177,48003200,0.0,0.0
1980-12-26,0.12352713942527771,0.12396206964466919,0.12352713942527771,0.12352713942527771,55574400,0.0,0.0
1980-12-29,0.12526684999465942,0.12570178021858666,0.12526684999465942,0.12526684999465942,93161600,0.0,0.0
1980-12-30,0.12265727508925964,0.12265727508925964,0.12222235649824141,0.12222235649824142,68880000,0.0,0.0
1980-12-31,0.11917785807720493,0.11917785807720493,0.1187429279088974,0.1187429279088974,35750400,0.0,0.0
1981-01-02,0.12004775553941727,0.12091761622920129,0.12004775553941727,0.12004775553941727,21660800,0.0,0.0
1981-01-05,0.11787310091153105,0.11787310091153105,0.1174381822347641,0.1174381822347641,35728000,0.0,0.0
1981-01-06,0.11265319852412178,0.11265319852412178,0.11221826821565628,0.11221826821565628,45158400,0.0,0.0
1981-01-07,0.10786897199376058,0.10786897199376058,0.10743404179811478,0.10743404179811478,55686400,0.0,0.0
1981-01-08,0.1056943221242495,0.1056943221242495,0.10525940358638763,0.10525940358638763,39827200,0.0,0.0
1981-01-09,0.1109134778380394,0.11134840810310823,0.1109134778380394,0.1109134778380394,21504000,0.0,0.0
1981-01-12,0.11091344889016243,0.11091344889016243,0.11004360020160675,0.11004360020160675,23699200,0.0,0.0
1981-01-13,0.10656416660717581,0.10656416660717581,0.10612923651933669,0.1061292365193367,23049600,0.0,0.0
1981-01-14,0.10656416416168213,0.10699909423954024,0.10656416416168213,0.10656416416168213,14291200,0.0,0.0
1981-01-15,0.10873885452747344,0.10960870348133805,0.10873885452747344,0.10873885452747345,14067200,0.0,0.0
1981-01-16,0.108303869703325,0.108303869703325,0.10786893963813782,0.10786893963813782,13395200,0.0,0.0
1981-01-19,0.11439286172389984,0.11482779185587486,0.11439286172389984,0.11439286172389984,41574400,0.0,0.0
1981-01-20,0.11134840810310823,0.11134840810310823,0.1109134778380394,0.1109134778380394,30083200,0.0,0.0
1981-01-21,0.11308805644512177,0.11395790489070749,0.11308805644512177,0.11308805644512177,15904000,0.0,0.0
1981-01-22,0.11439286172389984,0.11526272198784987,0.11439286172389984,0.11439286172389984,35548800,0.0,0.0
1981-01-23,0.11439285674401493,0.11482778685705607,0.1139579266309738,0.11395792663097382,11222400,0.0,0.0
1981-01-26,0.11265319852412178,0.11265319852412178,0.11221826821565628,0.11221826821565628,24640000,0.0,0.0
1981-01-27,0.1122182243403414,0.1122182243403414,0.11134837567806245,0.11134837567806244,23699200,0.0,0.0
1981-01-28,0.108303869703325,0.108303869703325,0.10786893963813782,0.10786893963813782,28156800,0.0,0.0
1981-01-29,0.1043895807702818,0.1043895807702818,0.10395465046167374,0.10395465046167374,43904000,0.0,0.0
1981-01-30,0.09916961676364873,0.09916961676364873,0.09829975664615631,0.09829975664615631,46188800,0.0,0.0
1981-02-02,0.09308065890429466,0.09308065890429466,0.09264573454856873,0.09264573454856873,23766400,0.0,0.0
1981-02-03,0.09612516313791275,0.09656008754121191,0.09612516313791275,0.09612516313791275,19152000,0.0,0.0
1981-02-04,0.09960456192493439,0.10003948043507498,0.09960456192493439,0.09960456192493439,27865600,0.0,0.0
1981-02-05,0.09960456192493439,0.10047441055976745,0.09960456192493439,0.09960456192493439,7929600,0.0,0.0
1981-02-06,0.10003946721553802,0.10047439728275745,0.10003946721553802,0.10003946721553802,13865600,0.0,0.0
1981-02-09,0.09569022732322814,0.09569022732322814,0.09482037276029587,0.09482037276029587,16755200,0.0,0.0
1981-02-10,0.09482037276029587,0.09525530294540038,0.09482037276029587,0.09482037276029587,18345600,0.0,0.0
1981-02-11,0.09221080361597393,0.09221080361597393,0.09177587926387787,0.09177587926387787,13843200,0.0,0.0
1981-02-12,0.09134095749323153,0.09134095749323153,0.09090524911880493,0.09090524911880493,14560000,0.0,0.0
1981-02-13,0.08960046545297574,0.08960046545297574,0.08873061090707779,0.08873061090707779,11155200,0.0,0.0
1981-02-17,0.09090524911880493,0.09134095749323153,0.09090524911880493,0.09090524911880493,12275200,0.0,0.0
1981-02-18,0.09482037276029587,0.09569022732322814,0.09482037276029587,0.09482037276029587,19241600,0.0,0.0
1981-02-19,0.08960044628120692,0.08960044628120692,0.08916551619768143,0.08916551619768143,22310400,0.0,0.0
1981-02-20,0.08481624966320397,0.08481624966320397,0.0843813195824623,0.08438131958246231,24371200,0.0,0.0
1981-02-23,0.085686095058918,0.08612102512366455,0.085686095058918,0.085686095058918,14112000,0.0,0.0
1981-02-24,0.08351145581869818,0.08351145581869818,0.0826416015625,0.0826416015625,16979200,0.0,0.0
1981-02-25,0.08786080032587051,0.0882957249128132,0.08786080032587051,0.08786080032587051,19488000,0.0,0.0
1981-02-26,0.08916551619768143,0.08960044628120692,0.08916551619768143,0.08916551619768143,10841600,0.0,0.0
1981-02-27,0.09221082925796509,0.09308068401132286,0.09221082925796509,0.09221082925796509,14761600,0.0,0.0
1981-03-02,0.09264573454856873,0.09308065890429466,0.09264573454856873,0.09264573454856873,11760000,0.0,0.0
1981-03-03,0.09177590425106213,0.09177590425106213,0.09134097397327423,0.09134097397327423,16172800,0.0,0.0
1981-03-04,0.09090522339367856,0.09090522339367856,0.09047029912471771,0.09047029912471771,13708800,0.0,0.0
1981-03-05,0.09047029408379392,0.09047029408379392,0.09003536403179169,0.09003536403179169,5376000,0.0,0.0
1981-03-06,0.09003537055745701,0.09003537055745701,0.08916551619768143,0.08916551619768143,11603200,0.0,0.0
1981-03-09,0.08264161310653115,0.08264161310653115,0.08220668882131577,0.08220668882131577,15321600,0.0,0.0
1981-03-10,0.0787264744929703,0.0787264744929703,0.07829155027866364,0.07829155027866364,28380800,0.0,0.0
1981-03-11,0.07611691100926501,0.07611691100926501,0.07524705678224564,0.07524705678224564,29859200,0.0,0.0
1981-03-12,0.07829155027866364,0.0787264744929703,0.07829155027866364,0.07829155027866364,59248000,0.0,0.0
1981-03-13,0.07785664917212763,0.07785664917212763,0.07742172479629517,0.07742172479629517,231302400,0.0,0.0
1981-03-16,0.08046697080135345,0.08133682507890923,0.08046697080135345,0.08046697080135345,37228800,0.0,0.0
1981-03-17,0.0843813195824623,0.0852511739366703,0.0843813195824623,0.08438131958246231,43747200,0.0,0.0
1981-03-18,0.08960045129060745,0.09047030569901504,0.08960045129060745,0.08960045129060745,36937600,0.0,0.0
1981-03-19,0.08916553527638844,0.08916553527638844,0.08873061090707779,0.08873061090707779,37811200,0.0,0.0
1981-03-20,0.08960045129060745,0.09047030569901504,0.08960045129060745,0.08960045129060745,14604800,0.0,0.0
1981-03-23,0.09308065474033356,0.09395050922014898,0.09308065474033356,0.09308065474033356,22019200,0.0,0.0
1981-03-24,0.09308065890429466,0.09308065890429466,0.09264573454856873,0.09264573454856873,28156800,0.0,0.0
1981-03-25,0.09177588769254785,0.09177588769254785,0.09090524911880493,0.09090524911880493,7056000,0.0,0.0
