,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,BTC-USD,CL=F,DX-Y.NYB,GC=F,^FVX,^GSPC,^TNX,BTC-USD,CL=F,DX-Y.NYB,GC=F,^FVX,^GSPC,^TNX,BTC-USD,CL=F,DX-Y.NYB,GC=F,^FVX,^GSPC,^TNX,BTC-USD,CL=F,DX-Y.NYB,GC=F,^FVX,^GSPC,^TNX,BTC-USD,CL=F,DX-Y.NYB,GC=F,^FVX,^GSPC,^TNX,BTC-USD,CL=F,DX-Y.NYB,GC=F,^FVX,^GSPC,^TNX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-31,2875.340087890625,50.16999816894531,92.86000061035156,1266.5999755859375,1.8320000171661377,2470.300048828125,2.2920000553131104,2875.340087890625,50.16999816894531,92.86000061035156,1266.5999755859375,1.8320000171661377,2470.300048828125,2.2920000553131104,2889.6201171875,50.40999984741211,93.54000091552734,1270.800048828125,1.8420000076293945,2477.9599609375,2.305000066757202,2720.610107421875,49.18000030517578,92.77999877929688,1265.800048828125,1.8289999961853027,2468.530029296875,2.2909998893737793,2763.239990234375,49.849998474121094,93.36000061035156,1268.9000244140625,1.8359999656677246,2475.93994140625,2.2939999103546143,860574976,781539.0,0.0,7780.0,0.0,3469210000.0,0.0
2017-08-01,2718.260009765625,49.15999984741211,93.02999877929688,1272.5999755859375,1.7990000247955322,2476.35009765625,2.250999927520752,2718.260009765625,49.15999984741211,93.02999877929688,1272.5999755859375,1.7990000247955322,2476.35009765625,2.250999927520752,2921.35009765625,50.43000030517578,93.12000274658203,1273.300048828125,1.8569999933242798,2478.510009765625,2.321000099182129,2685.610107421875,48.369998931884766,92.77999877929688,1262.0,1.7979999780654907,2471.139892578125,2.250999927520752,2871.300048828125,50.209999084472656,92.88999938964844,1268.4000244140625,1.847000002861023,2477.10009765625,2.305000066757202,1324669952,1008583.0,0.0,1061.0,0.0,3460860000.0,0.0
2017-08-02,2710.669921875,49.59000015258789,92.83000183105469,1271.800048828125,1.819000005722046,2477.570068359375,2.26200008392334,2710.669921875,49.59000015258789,92.83000183105469,1271.800048828125,1.819000005722046,2477.570068359375,2.26200008392334,2762.530029296875,49.650001525878906,93.16000366210938,1272.0999755859375,1.8309999704360962,2480.3798828125,2.2839999198913574,2668.590087890625,48.54999923706055,92.55000305175781,1262.9000244140625,1.7990000247955322,2466.47998046875,2.243000030517578,2727.1298828125,48.79999923706055,93.05999755859375,1268.5,1.815999984741211,2480.3798828125,2.2709999084472656,1094950016,847722.0,0.0,393.0,0.0,3478580000.0,0.0
2017-08-03,2804.72998046875,49.029998779296875,92.80999755859375,1267.800048828125,1.7899999618530273,2472.159912109375,2.2279999256134033,2804.72998046875,49.029998779296875,92.80999755859375,1267.800048828125,1.7899999618530273,2472.159912109375,2.2279999256134033,2813.31005859375,49.959999084472656,93.04000091552734,1269.800048828125,1.815999984741211,2476.030029296875,2.250999927520752,2685.139892578125,48.779998779296875,92.68000030517578,1256.5999755859375,1.7899999618530273,2468.85009765625,2.2279999256134033,2709.56005859375,49.59000015258789,92.9000015258789,1265.9000244140625,1.805999994277954,2476.030029296875,2.243000030517578,804796992,837763.0,0.0,878.0,0.0,3645020000.0,0.0
2017-08-04,2895.889892578125,49.58000183105469,93.54000091552734,1258.300048828125,1.8220000267028809,2476.830078125,2.2669999599456787,2895.889892578125,49.58000183105469,93.54000091552734,1258.300048828125,1.8220000267028809,2476.830078125,2.2669999599456787,2899.330078125,49.63999938964844,93.7699966430664,1269.5999755859375,1.8420000076293945,2480.0,2.2909998893737793,2743.719970703125,48.5,92.69999694824219,1253.9000244140625,1.7979999780654907,2472.080078125,2.2300000190734863,2806.929931640625,48.95000076293945,92.75,1269.0,1.8009999990463257,2476.8798828125,2.2320001125335693,1002120000,745664.0,0.0,521.0,0.0,3235140000.0,0.0
2017-08-05,3252.909912109375,,,,,,,3252.909912109375,,,,,,,3290.010009765625,,,,,,,2874.830078125,,,,,,,2897.6298828125,,,,,,,1945699968,,,,,,
2017-08-06,3213.93994140625,,,,,,,3213.93994140625,,,,,,,3293.2900390625,,,,,,,3155.60009765625,,,,,,,3257.610107421875,,,,,,,1105030016,,,,,,
2017-08-07,3378.93994140625,49.38999938964844,93.43000030517578,1258.199951171875,1.812000036239624,2480.909912109375,2.256999969482422,3378.93994140625,49.38999938964844,93.43000030517578,1258.199951171875,1.812000036239624,2480.909912109375,2.256999969482422,3397.679931640625,49.72999954223633,93.54000091552734,1259.0999755859375,1.8320000171661377,2480.949951171875,2.2760000228881836,3180.889892578125,48.540000915527344,93.30000305175781,1255.300048828125,1.809000015258789,2475.8798828125,2.253000020980835,3212.780029296875,49.59000015258789,93.5,1258.699951171875,1.8320000171661377,2477.139892578125,2.2760000228881836,1482279936,831374.0,0.0,260.0,0.0,2931780000.0,0.0
