Datetime,Close
2022-08-18 00:15:00+00:00,23326.201171875
2022-08-18 00:30:00+00:00,23423.361328125
2022-08-18 00:45:00+00:00,23445.546875
2022-08-18 01:00:00+00:00,23435.248046875
2022-08-18 01:15:00+00:00,23445.154296875
2022-08-18 01:30:00+00:00,23460.203125
2022-08-18 01:45:00+00:00,23460.509765625
2022-08-18 02:00:00+00:00,23478.158203125
2022-08-18 02:15:00+00:00,23459.119140625
2022-08-18 02:30:00+00:00,23448.291015625
2022-08-18 02:45:00+00:00,23467.357421875
2022-08-18 03:00:00+00:00,23455.3125
2022-08-18 03:15:00+00:00,23472.279296875
2022-08-18 03:30:00+00:00,23479.408203125
2022-08-18 03:45:00+00:00,23441.302734375
2022-08-18 04:00:00+00:00,23452.677734375
2022-08-18 04:15:00+00:00,23409.443359375
2022-08-18 04:30:00+00:00,23374.37890625
2022-08-18 04:45:00+00:00,23392.404296875
2022-08-18 05:00:00+00:00,23439.486328125
2022-08-18 05:15:00+00:00,23452.658203125
2022-08-18 05:30:00+00:00,23460.486328125
2022-08-18 05:45:00+00:00,23429.111328125
2022-08-18 06:00:00+00:00,23450.234375
2022-08-18 06:15:00+00:00,23412.416015625
2022-08-18 06:30:00+00:00,23389.783203125
2022-08-18 06:45:00+00:00,23375.607421875
2022-08-18 07:00:00+00:00,23387.8203125
2022-08-18 07:15:00+00:00,23414.392578125
2022-08-18 07:30:00+00:00,23430.337890625
2022-08-18 07:45:00+00:00,23412.158203125
2022-08-18 08:00:00+00:00,23422.916015625
2022-08-18 08:15:00+00:00,23396.73046875
2022-08-18 08:30:00+00:00,23365.494140625
2022-08-18 08:45:00+00:00,23449.529296875
2022-08-18 09:00:00+00:00,23450.693359375
2022-08-18 09:15:00+00:00,23465.3359375
2022-08-18 09:30:00+00:00,23492.046875
2022-08-18 09:45:00+00:00,23525.349609375
2022-08-18 10:00:00+00:00,23523.720703125
2022-08-18 10:15:00+00:00,23514.912109375
2022-08-18 10:30:00+00:00,23513.435546875
2022-08-18 10:45:00+00:00,23490.91796875
2022-08-18 11:00:00+00:00,23487.55078125
2022-08-18 11:15:00+00:00,23482.662109375
2022-08-18 11:30:00+00:00,23496.251953125
2022-08-18 11:45:00+00:00,23526.765625
2022-08-18 12:00:00+00:00,23521.63671875
2022-08-18 12:15:00+00:00,23552.93359375
2022-08-18 12:30:00+00:00,23511.93359375
2022-08-18 12:45:00+00:00,23551.302734375
2022-08-18 13:00:00+00:00,23539.2578125
2022-08-18 13:15:00+00:00,23507.73046875
2022-08-18 13:30:00+00:00,23492.7890625
2022-08-18 13:45:00+00:00,23478.30859375
2022-08-18 14:00:00+00:00,23460.65625
2022-08-18 14:15:00+00:00,23457.849609375
2022-08-18 14:30:00+00:00,23455.6484375
2022-08-18 14:45:00+00:00,23443.81640625
2022-08-18 15:00:00+00:00,23402.083984375
2022-08-18 15:15:00+00:00,23441.056640625
2022-08-18 15:30:00+00:00,23472.427734375
2022-08-18 15:45:00+00:00,23477.8984375
2022-08-18 16:00:00+00:00,23438.611328125
2022-08-18 16:15:00+00:00,23377.705078125
2022-08-18 16:30:00+00:00,23295.908203125
2022-08-18 16:45:00+00:00,23341.763671875
2022-08-18 17:00:00+00:00,23395.947265625
2022-08-18 17:15:00+00:00,23401.31640625
2022-08-18 17:30:00+00:00,23395.896484375
2022-08-18 17:45:00+00:00,23302.599609375
2022-08-18 18:00:00+00:00,23324.41796875
2022-08-18 18:15:00+00:00,23299.919921875
2022-08-18 18:30:00+00:00,23296.052734375
2022-08-18 18:45:00+00:00,23344.609375
2022-08-18 19:00:00+00:00,23355.359375
2022-08-18 19:15:00+00:00,23411.443359375
2022-08-18 19:30:00+00:00,23411.49609375
2022-08-18 19:45:00+00:00,23375.10546875
2022-08-18 20:00:00+00:00,23359.671875
2022-08-18 20:15:00+00:00,23384.416015625
